deltaYaw,deltaPitch,accelYaw,accelPitch,jerkYaw,jerkPitch,label
5.17871,-2.93253,8.04883,1.24788,6.30176,1.24788,1
6.05225,-2.62056,0.87354,0.31197,-7.17529,-0.93591,1
3.55646,-2.1838,-2.49579,0.43676,-3.36932,0.12479,1
-2.18378,-1.74704,-5.74023,0.43676,-3.24445,0.0,1
-1.74701,-1.18549,0.43677,0.56155,6.177,0.12479,1
4.49237,-1.37267,6.23938,-0.18718,5.80261,-0.74873,1
6.23944,-0.93591,1.74707,0.43676,-4.49231,0.62394,1
2.49579,0.62394,-3.74365,1.55985,-5.49072,1.1231,1
-7.30011,0.62394,-9.7959,0.0,-6.05225,-1.55985,1
0.74872,-0.74873,8.04883,-1.37267,17.84473,-1.37267,1
0.49915,-1.68464,-0.24957,-0.93591,-8.2984,0.43676,1
4.30518,-2.24619,3.80603,-0.56155,4.0556,0.37437,1
6.3642,-1.74704,2.05902,0.49915,-1.74701,1.0607,1
0.56152,-0.62394,-5.80267,1.12309,-7.86169,0.62394,1
2.30859,0.68633,1.74707,1.31028,7.54974,0.18718,1
10.85657,2.99492,8.54797,2.30858,6.8009,0.99831,1
14.91217,3.80604,4.0556,0.81112,-4.49237,-1.49746,1
18.71826,4.86674,3.80609,1.0607,-0.24951,0.24958,1
14.97461,3.68126,-3.74365,-1.18549,-7.54974,-2.24619,1
9.35913,2.74534,-5.61548,-0.93591,-1.87183,0.24957,1
15.84808,3.2445,6.48895,0.49915,12.10443,1.43507,1
4.99152,-0.93591,-10.85657,-4.18041,-17.34552,-4.67956,1
3.24451,-2.43337,-1.74701,-1.49746,9.10956,2.68295,1
-1.18549,-2.74534,-4.42999,-0.31197,-2.68298,1.18549,1
-0.8111,0.81112,0.37439,3.55647,4.80438,3.86843,1
4.30518,1.68464,5.11627,0.87352,4.74188,-2.68295,1
10.79419,3.05731,6.48901,1.37267,1.37274,0.49915,1
17.47034,5.05392,6.67615,1.99661,0.18713,0.62394,1
16.47205,3.86844,-0.99829,-1.18549,-7.67444,-3.1821,1
18.21912,3.86844,1.74707,0.0,2.74536,1.18549,1
10.98138,1.74704,-7.23773,-2.1214,-8.9848,-2.1214,1
-0.62396,0.62394,-11.60535,-1.12309,-4.36761,0.99831,1
11.35571,-1.99661,11.97968,-2.62056,23.58502,-1.49746,1
6.48901,-1.74704,-4.8667,0.24958,-16.84637,2.87013,1
-5.42828,-3.99323,-11.9173,-2.24619,-7.0506,-2.49577,1
2.49579,-4.49238,7.92407,-0.49915,19.84137,1.74704,1
3.86841,-0.74873,1.37262,3.74365,-6.55145,4.2428,1
3.36926,-0.68634,-0.49915,0.06239,-1.87177,-3.68126,1
0.56152,-0.81112,-2.80774,-0.12479,-2.30859,-0.18718,1
-2.62054,-0.99831,-3.18207,-0.18718,-0.37433,-0.0624,1
2.37097,-0.87352,4.99152,0.12479,8.17358,0.31197,1
2.80774,-1.12309,0.43677,-0.24957,-4.55475,-0.37436,1
2.62054,0.62394,-0.18719,1.74703,-0.62396,1.9966,1
-0.37439,0.62394,-2.99493,0.0,-2.80774,-1.74703,1
2.80774,0.87352,3.18213,0.24958,6.17706,0.24958,1
1.3103,-0.81112,-1.49744,-1.68464,-4.67957,-1.93422,1
7.98645,-2.55816,6.67615,-1.74704,8.17358,-0.06239,1
4.61719,-3.36928,-3.36926,-0.81112,-10.04541,0.93591,1
4.42999,-2.37098,-0.18719,0.9983,3.18207,1.80943,1
-2.43335,-1.55985,-6.86334,0.81113,-6.67615,-0.18718,1
2.43335,-1.37267,4.8667,0.18718,11.73004,-0.62395,1
5.5531,-0.87352,3.11975,0.49915,-1.74695,0.31197,1
5.42828,0.93591,-0.12482,1.80943,-3.24457,1.31028,1
-1.55988,-0.31197,-6.98816,-1.24788,-6.86334,-3.05732,1
-2.9325,0.68634,-1.37262,0.99831,5.61554,2.24619,1
4.99152,-0.62394,7.92401,-1.31028,9.29663,-2.30858,1
5.24109,-0.93591,0.24957,-0.31197,-7.67444,0.9983,1
-3.24451,-1.68464,-8.4856,-0.74873,-8.73517,-0.43676,1
-3.55646,-2.99492,-0.31195,-1.31028,8.17365,-0.56155,1
-1.55988,-2.24619,1.99658,0.74873,2.30853,2.05901,1
-2.18378,-0.87352,-0.6239,1.37267,-2.62048,0.62394,1
3.11969,-0.74873,5.30347,0.12479,5.92737,-1.24788,1
2.62054,0.68633,-0.49915,1.43506,-5.80261,1.31028,1
-5.98987,1.31028,-8.61041,0.62394,-8.11127,-0.81112,1
-2.62054,0.68634,3.36932,-0.62394,11.97974,-1.24788,1
-1.99664,0.68634,0.6239,0.0,-2.74542,0.62394,1
3.99323,1.12309,5.98987,0.43676,5.36597,0.43676,1
5.74023,1.37267,1.74701,0.24958,-4.24286,-0.18718,1
-13.60193,2.05901,-19.34216,0.68633,-21.08917,0.43676,1
-3.86841,-0.68634,9.73352,-2.74534,29.07568,-3.43168,1
-2.18378,-1.55985,1.68463,-0.87352,-8.04889,1.87183,1
4.67957,-2.49577,6.86334,-0.93591,5.17871,-0.0624,1
1.62225,-0.93591,-3.05731,1.55985,-9.92065,2.49577,1
0.31195,-0.68634,-1.3103,0.24958,1.74701,-1.31028,1
-3.55646,-0.81112,-3.86841,-0.12479,-2.55811,-0.37436,1
2.68292,0.62394,6.23938,1.43506,10.10779,1.55985,1
5.05396,0.99831,2.37103,0.37436,-3.86835,-1.0607,1
0.37439,0.99831,-4.67957,0.0,-7.0506,-0.37436,1
3.80603,1.49746,3.43164,0.49915,8.11121,0.49915,1
-6.67615,2.18379,-10.48218,0.68633,-13.91382,0.18718,1
-1.55988,1.18549,5.11627,-0.9983,15.59845,-1.68464,1
10.66937,-1.93422,12.22925,-3.11971,7.11298,-2.1214,1
0.12482,-1.68464,-10.54456,0.24958,-22.7738,3.36929,1
-0.37439,-2.37098,-0.49921,-0.68633,10.04535,-0.93591,1
-3.49408,-0.81112,-3.11969,1.55985,-2.62048,2.24619,1
1.12311,0.81112,4.61719,1.62225,7.73688,0.0624,1
2.62054,1.55985,1.49744,0.74873,-3.11975,-0.87352,1
2.55817,2.93253,-0.06238,1.37267,-1.55981,0.62394,1
1.12311,5.11632,-1.43506,2.1838,-1.37268,0.81112,1
-2.62054,5.98984,-3.74365,0.87352,-2.30859,-1.31028,1
3.4317,6.17702,6.05225,0.18718,9.7959,-0.68633,1
14.6626,6.30181,11.2309,0.12479,5.17865,-0.0624,1
50.97601,6.67617,36.31342,0.37437,25.08252,0.24958,1
58.02655,6.92575,7.05054,0.24957,-29.26288,-0.12479,1
-14.9122,2.68295,-72.93875,-4.2428,-79.98929,-4.49237,1
-3.55646,-3.49407,11.35574,-6.17702,84.29449,-1.93422,1
2.43338,-1.68464,5.98984,1.80943,-5.36591,7.98645,1
1.62225,-1.31028,-0.81113,0.37436,-6.80096,-1.43507,1
0.24957,-1.55985,-1.37268,-0.24957,-0.56155,-0.62393,1
-4.18042,-1.55985,-4.42999,0.0,-3.05731,0.24957,1
-1.31027,-1.37267,2.87015,0.18718,7.30014,0.18718,1
2.93253,-1.24788,4.2428,0.12479,1.37265,-0.06239,1
1.99661,-0.62394,-0.93591,0.62394,-5.17871,0.49915,1
-2.80774,0.81112,-4.80435,1.43507,-3.86844,0.81113,1
0.06241,0.81112,2.87015,0.0,7.6745,-1.43507,1
1.0607,0.68634,0.99829,-0.12479,-1.87186,-0.12479,1
0.0,-0.74873,-1.0607,-1.43507,-2.05899,-1.31028,1
-0.99832,-0.74873,-0.99832,0.0,0.06238,1.43507,1
-28.82608,4.42998,-27.82776,5.17871,-26.82944,5.17871,1
-47.98111,6.4266,-19.15503,1.99662,8.67273,-3.18209,1
-40.49377,5.3035,7.48734,-1.12309,26.64236,-3.11971,1
-9.35913,-1.43507,31.13464,-6.73857,23.64731,-5.61548,1
-1.12311,-0.68633,8.23602,0.74873,-22.89862,7.4873,1
-0.49915,-0.43676,0.62396,0.24957,-7.61206,-0.49916,1
-3.61884,-0.31197,-3.11969,0.12479,-3.74365,-0.12479,1
5.5531,-1.0607,9.17194,-0.74873,12.29163,-0.87351,1
10.35742,-1.74704,4.80432,-0.68634,-4.36761,0.06239,1
11.60529,-3.11971,1.24786,-1.37267,-3.55646,-0.68633,1
7.17535,-4.1804,-4.42993,-1.0607,-5.6778,0.31197,1
8.4856,-5.86505,1.31024,-1.68465,5.74017,-0.62395,1
8.92236,-3.05731,0.43677,2.80774,-0.87347,4.49239,1
12.41644,-2.68295,3.49408,0.37436,3.05731,-2.43338,1
12.54123,-2.55816,0.12479,0.12479,-3.36929,-0.24957,1
7.05054,-1.0607,-5.49069,1.49746,-5.61548,1.37267,1
1.24789,-0.12479,-5.80264,0.93591,-0.31195,-0.56155,1
1.68463,-0.74873,0.43674,-0.62394,6.23938,-1.55985,1
6.3642,-0.93591,4.67957,-0.18718,4.24283,0.43676,1
11.54291,-1.1231,5.17871,-0.18718,0.49915,0.0,1
-4.74194,-0.37437,-16.28485,0.74873,-21.46356,0.93591,1
-7.17532,-0.99831,-2.43338,-0.62394,13.85147,-1.37267,1
-5.74026,-1.37267,1.43506,-0.37437,3.86844,0.24957,1
-4.05563,-1.62225,1.68463,-0.24957,0.24957,0.12479,1
-0.99832,0.93591,3.05731,2.55816,1.37268,2.80773,1
-9.85828,2.24619,-8.85995,1.31028,-11.91727,-1.24788,1
-10.98138,1.99661,-1.12311,-0.24958,7.73685,-1.55985,1
-11.41815,2.49577,-0.43677,0.49915,0.68634,0.74873,1
-8.42322,1.62225,2.99493,-0.87352,3.4317,-1.37267,1
-8.61041,1.80943,-0.18719,0.18718,-3.18213,1.0607,1
-11.66772,2.87013,-3.05731,1.0607,-2.87012,0.87352,1
-23.46021,4.74195,-11.79248,1.87183,-8.73517,0.81113,1
-26.45514,4.80435,-2.99493,0.06239,8.79755,-1.80943,1
-10.10785,-2.55816,16.34729,-7.36251,19.34222,-7.4249,1
-3.68127,-4.55477,6.42657,-1.99661,-9.92072,5.36589,1
1.06073,-4.42999,4.742,0.12479,-1.68457,2.1214,1
-4.99152,-3.2445,-6.05225,1.18549,-10.79425,1.0607,1
